flightID,missionName,drone,dataType,scale,gpsSource,sensor,resolution_cm,overlapSide,overlapFront,nFlights,dateFlights_ymd,dateAligned_ymd,pointCloud,dsm,ortho,useAnalysis,launchPoint,flightDirection,weather,issues,softwareFlightPlan,softwareGPS,softwareProcess,notes,contributors,labPI,contact
6/19/23,BCI_whole_2023_06_19_EBEE_dipteryx,eBee senseFly,RGB,full,drone,S.O.D.A.,14.31,0.77,0.77,12,6/19/23,5/15/23,1,1,1,1,,,,,eMotion,automatic,Metashape v2.0.1,,Stereocarto,Helene Muller-Landau,
10/12/23,DeadLab_2023-10-12,DeltaQuad Pro MAP,RGB,full,drone,Sony a7r III 35mm,7.65,0.7,0.7,4,"2023-10-12, 2023-10-13",5/15/23,1,1,1,1,BCI helipad,NS,"sunny, few clouds that we could see, light wind at surface.","There were issues with using Emlid Studio for processing the PPK data, where Emlid said there weren't enough pictures for the number of GPS points it had recorded. I (Ian) tried to match the camera shutter timing with the GPS points, but this proved to be impossible. After manually choosing which images were valid (I just didn't include some on either end), Emlid then processed the data but said that there were multiple photos (up to 5) that had the exact same GPS point. I ended up having to manually assign the GPS information based on the droneÊ.ulgÊfile. Because of the GPS issue and the fast flight speeds of the drone in certain sections due to windspeed, there were anomalies with Metashape processing. For example, the software had trouble aligning all the images and I had to manually find tie points (because the camera trigger was too far apart for how fast the drone was going). The resulting orthomosaic was not fully aligned to June 2023, and after several tests I've tabled that effort as I believe it's dependent on having better GPS data than we currently have.",QGroundControl v4.4,Emlid Studio v1.7,Metashape v2.0.3.16960,Some cloud shadows in final orthomosaic,"Ian McGregor, Cesar Gutierrez, Vanessa Rubio, Evan Gora, Jeff Burchfield, Fernando Arauz",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
10/31/23,DeadLab_2023-10-31,DeltaQuad Pro MAP,RGB,full,drone,Sony a7r III 35mm,7.18,0.7,0.7,4,"2023-10-31, 2023-11-01",5/15/23,1,1,1,1,BCI helipad,NS,overcast,"Similar issues with PPK processing using Emlid as with the 2023-10-12 flight. The alignment of the images was much better in Metashape due to more consistent windspeeds during the flight. However, GPS issues still led to the inability to have a fully-aligned orthomosaic. ",QGroundControl v4.4,Emlid Studio v1.7,Metashape v2.0.3.16960,"There are few cloud shadows in the orthomosaic, and overall it looks a lot better than 2023-10-12.","Cesar Gutierrez, Ian McGregor, Fernando Arauz",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
12/4/23,DeadLab_2023-12-04,DeltaQuad Pro MAP,RGB,partial,drone,Sony a7r III 35mm,7.31,0.8,0.8,2,12/4/23,NA,0,0,1,0,BCI helipad,NS,"sunny but with some clouds, wind moderate","There were issues with the battery in that the drone was unable to fully complete the second flight before reaching the critical battery point and returning home. The ""Return to mission"" command resulted in a tangle with a tree, thus we do not have images for the full island. Whether because we were still using DeltaQuad / Emlid for this or because this was still from the helipad, the GPS information did not line up when doing PPK processing (i.e. the number of events identified by Emlid was only 1 off from the number of images we had, but when I plotted the drone's GPS coordinates overlaid by Emlid's GPS coordinates, we had missing overlaps for at least 25 images). GPS info from the drone log file was thus manually assigned as for the Oct and Nov flights.",QGroundControl v4.4,Emlid Studio v1.7,Metashape v2.0.3.16960,"Metashape had no issues processing, and the only images that weren't aligned were those over open water.","Cesar Gutierrez, Fernando Arauz, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
2/13/24,DeadLab_2024-02-13,DeltaQuad Pro MAP,RGB,partial,NA,Sony a7r III 35mm,NA,0.8,0.8,1,2/13/24,NA,0,0,0,0,Orchid Island,NS,,"Once again, there were battery issues and the drone began landing on its own at the far western edge of the island, ultimately getting into the water. We were able to recover the drone, camera, and images, but we did not get Emlid GPS data from the RS+ nor the drone log files.",QGroundControl v4.4,Emlid Studio v1.7,Metashape v2.0.3.16960,,"Cesar Gutierrez, Fernando Arauz, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
3/6/24,DeadLab_2024-03-06,eBee senseFly,RGB,full,drone,S.O.D.A.,14.33,0.77,0.77,14,"2024-03-06, 2024-03-07",5/15/23,1,1,1,1,Orchid Island,NS,,,eMotion,automatic,Metashape v2.0.3.16960,"No issues with post-processing. The only images Metashape couldn't align were those over open water or during turns. Otherwise, aligned DSMs are fine and the orthomosaics look good, though of course the latter are not 100% aligned with the June 2023 ortho (but no super large shifts present).","Cesar Gutierrez, Fernando Arauz, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
3/25/24,DeadLab_2024-03-25,eBee senseFly,RGB,full,drone,S.O.D.A.,14.36,0.77,0.77,13,"2024-03-25, 2024-03-26",5/15/23,1,1,1,1,Orchid Island,NS,sunny,,eMotion,automatic,Metashape v2.0.3.16960,"Similar to 2024-03-06, no issues with post-processing, DSMs and orthomosaics look good. Present shifts in ortho are not large.","Cesar Gutierrez, Fernando Arauz, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
5/14/24,DeadLab_2024-05-14,eBee senseFly,RGB,full,drone,S.O.D.A.,14.31,0.77,0.77,17,"2024-05-14,  2024-05-16",5/15/23,1,1,1,1,Orchid Island,EW,"a little cloudy on Tuesday/Thursday, very cloudy on Wednesday",,,automatic,Metashapev2.1.1.17821,"Because there were so many clouds on Wednesday, the imagery was not great. The team did more flights on Thursday to capture areas that were missed on Wednesday due to cloud. Processed images were thus only from Tuesday/Thursday.","Cesar Gutierrez, Fernando Arauz, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
6/11/24,DeadLab_2024-06-11,Trinity F70 Pro,RGB,full,PPK,Sony RX1RII,15.75,0.77,0.8,7,"2024-06-11, 2024-06-12, 2024-06-13, 2024-06-14",5/15/23,1,1,1,1,BCI helipad,NS,alternated between sunny and a little cloudy on each day,,Qbase3D v2.33.18,Qbase3D v2.33.18,Metashapev2.1.1.17821,"1 flight the first day, 3 on the 12th, 1 on the 13th, and 2 on the 14th. Note that the native resolution is 3.94cm, but we are downsampling the images (this is for all flights with the Trinity Pro / Sony RX1RII).","Cesar Gutierrez, Fernando Arauz, Evan Gora, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
7/16/24,DeadLab_2024-07-16,Trinity F70 Pro,RGB,Full,PPK,Sony RX1RII,15.73,0.77,0.8,8,"2024-07-16, 2024-07-19",5/15/23,1,1,1,1,BCI helipad,NS,alternated between sunny and cloudy each day,"the flight log for mission 3 was incomplete, so we were not able to assign GPS information at all using PPK. We instead were only able to downsample the images, then relied on Metashape to assign them to the correct location based on the file names.",Qbase3D v2.33.18,Qbase3D v2.33.18,Metashapev2.1.1.17821,4 flights the first day and 4 flights on 19th,"Cesar Gutierrez, Fernando Arauz, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
8/13/24,DeadLab_2024-08-13,Trinity F70 Pro,RGB,Full,PPK,Sony RX1RII,15.45,0.77,0.8,8,"2024-08-13, 2024-08-14",5/15/23,1,1,1,1,BCI helipad,NS,sunny,,Qbase3D v2.34.47,Qbase3D v2.34.47,Metashapev2.1.1.17821,5 flights the first day and 3 on 14th,"Cesar Gutierrez, Fernando Arauz, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
9/18/24,DeadLab_2024-09-18,Trinity F70 Pro,RGB,Full,PPK,Sony RX1RII,15.71,0.77,0.8,11,"2024-09-18,2024-09-19,2024-09-20",5/15/23,1,1,1,1,BCI helipad,NS,"Wednesday and Thursday was sunny, cloudy on Friday ","the first mission don't have a ppk for all the time but we repeat the part without ppk. The mission 4 have 2 part because in the middle of the first part it give a error in sd card from the camara. Also the mission 7 have 2 part because we haved the same error with th sd card of the camera. Thus, in order to get a usable orthomosaic and point cloud in Metashape, we needed to disregard the coordinates from Images labeled  3533-4154 (see the protocol for more details).",Qbase3D v2.34.47,Qbase3D v2.34.47,Metashapev2.1.1.17821,"5 flight in the first day, 2 on 19th and 4 on 20th","Cesar Gutierrez, Fernando Arauz, Ian McGregor",Evan Gora,"Evan Gora, gorae@caryinstitute.org"
